127.0.0.1 - - [02/Feb/2019:12:20:57 +0100] "GET /Acme-HandyWorker/images/edit.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:21:06 +0100] "GET /Acme-HandyWorker/j_spring_security_logout HTTP/1.1" 302 -
127.0.0.1 - - [02/Feb/2019:12:21:06 +0100] "GET /Acme-HandyWorker/ HTTP/1.1" 200 3693
127.0.0.1 - - [02/Feb/2019:12:21:07 +0100] "GET /Acme-HandyWorker/security/login.do HTTP/1.1" 200 3909
127.0.0.1 - - [02/Feb/2019:12:21:12 +0100] "POST /Acme-HandyWorker/j_spring_security_check HTTP/1.1" 302 -
127.0.0.1 - - [02/Feb/2019:12:21:12 +0100] "GET /Acme-HandyWorker/ HTTP/1.1" 200 4480
127.0.0.1 - - [02/Feb/2019:12:21:17 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5273
127.0.0.1 - - [02/Feb/2019:12:21:31 +0100] "GET /Acme-HandyWorker/warranty/administrator/show.do?warrantyId=32772 HTTP/1.1" 200 5054
127.0.0.1 - - [02/Feb/2019:12:21:31 +0100] "GET /Acme-HandyWorker/images/delete.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:21:34 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5273
127.0.0.1 - - [02/Feb/2019:12:21:36 +0100] "GET /Acme-HandyWorker/warranty/administrator/edit.do?warrantyId=32772 HTTP/1.1" 200 4694
127.0.0.1 - - [02/Feb/2019:12:21:36 +0100] "GET /Acme-HandyWorker/images/ferrete.png HTTP/1.1" 200 2444638
127.0.0.1 - - [02/Feb/2019:12:21:40 +0100] "GET /Acme-HandyWorker/ HTTP/1.1" 200 4480
127.0.0.1 - - [02/Feb/2019:12:22:42 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5273
127.0.0.1 - - [02/Feb/2019:12:22:47 +0100] "GET /Acme-HandyWorker/warranty/administrator/edit.do?warrantyId=32772 HTTP/1.1" 200 4694
127.0.0.1 - - [02/Feb/2019:12:22:50 +0100] "GET /Acme-HandyWorker/warranty/administrator/create.do HTTP/1.1" 200 5352
127.0.0.1 - - [02/Feb/2019:12:22:59 +0100] "POST /Acme-HandyWorker/warranty/administrator/edit.do HTTP/1.1" 302 -
127.0.0.1 - - [02/Feb/2019:12:22:59 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5540
127.0.0.1 - - [02/Feb/2019:12:23:02 +0100] "GET /Acme-HandyWorker/warranty/administrator/edit.do?warrantyId=32779 HTTP/1.1" 200 4694
127.0.0.1 - - [02/Feb/2019:12:23:04 +0100] "GET /Acme-HandyWorker/ HTTP/1.1" 200 4480
127.0.0.1 - - [02/Feb/2019:12:24:47 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5540
127.0.0.1 - - [02/Feb/2019:12:24:50 +0100] "GET /Acme-HandyWorker/warranty/administrator/create.do HTTP/1.1" 200 5381
127.0.0.1 - - [02/Feb/2019:12:24:59 +0100] "POST /Acme-HandyWorker/warranty/administrator/edit.do HTTP/1.1" 302 -
127.0.0.1 - - [02/Feb/2019:12:24:59 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5718
127.0.0.1 - - [02/Feb/2019:12:25:05 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do?language=en HTTP/1.1" 200 5718
127.0.0.1 - - [02/Feb/2019:12:25:07 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do?language=es HTTP/1.1" 200 5765
127.0.0.1 - - [02/Feb/2019:12:27:54 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do HTTP/1.1" 200 5765
127.0.0.1 - - [02/Feb/2019:12:27:59 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do?language=es HTTP/1.1" 200 5765
127.0.0.1 - - [02/Feb/2019:12:30:57 +0100] "GET /Acme-HandyWorker/warranty/administrator/list.do?language=es HTTP/1.1" 200 5765
127.0.0.1 - - [02/Feb/2019:12:30:57 +0100] "GET /Acme-HandyWorker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:30:57 +0100] "GET /Acme-HandyWorker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2019:12:30:57 +0100] "GET /Acme-HandyWorker/scripts/jmenu.js HTTP/1.1" 304 -
